plant,unit,value
1,1,657.0
1,2,1350.0
1,3,2.16
1,4,217.5809999999999
1,5,198.73300000000003
1,6,26.04
1,7,529.0
1,8,11.44
1,9,255.0
1,10,233.24949999999998
1,11,339.68
1,12,270.2
1,13,31.9
1,14,189.84
1,15,18.34
1,16,78.3
1,17,189.72
1,18,590.72
1,19,627.64
1,20,400.0
1,21,100.0
1,22,194.0
1,23,158.86
1,24,207.99990936791528
1,25,24.64
1,26,52.37498251797166
1,27,146.88
1,28,7.5
1,29,18.48
1,30,250.8
1,31,47.2482584633534
1,32,250.26
1,33,239.94
1,34,157.0521881129468
1,35,9.6
1,36,88.4
1,37,998.822
1,38,841.8680000000003
1,39,0.6
1,40,197.0
1,41,91.0
1,42,168.92
1,43,5.94
2,1,13.86
2,2,383.15
2,3,383.15
2,4,350.0
2,5,37.03
2,6,66.6
2,7,3.36
2,8,17.807599999999994
2,9,88.0
2,10,128.32219999999998
2,11,253.98780000000002
2,12,356.25100000000003
2,13,2.16
2,14,122.18299999999999
2,15,309.25
2,16,15.5
2,17,595.2
3,1,5.07
3,2,4.29
3,3,13.12
3,4,4.29
3,5,37.70832301109843
3,6,54.72
3,7,54.0
3,8,5.07
3,9,5.85
3,10,193.6
3,11,79.2
3,12,5.07
3,13,5.85
3,14,121.44
3,15,344.52
3,16,87.37928179228992
3,17,89.33763066220047
3,18,5.85
3,19,39.78
3,20,5.85
3,21,105.23993436168465
3,22,5.07
3,23,5.07
3,24,16.48
3,25,41.77742363095715
3,26,10.417071496901281
3,27,13.2
3,28,161.82
3,29,30.230016754119404
3,30,24.96
3,31,102.6
3,32,531.158
3,33,227.39473237962287
4,1,103.32101179446205
4,2,100.23055469357831
